"SECRETARIA DO TESOURO NACIONAL - STN",,,,,
"COORDENAÇÃO-GERAL DE ANÁLISE, INFORMAÇÕES E EXECUÇÃO DE E TRANSFERÊNCIAS FINANCEIRAS INTERGOVERNAMENTAIS - COINT",,,,,
,,,,,
"Art. 5º da LC 173 - Programa Federativo de Enfrentamento ao Coronavírus","1ª Parcela
Crédito em 09/06/20
VALOR R$ ","2ª Parcela
Crédito em 13/07/20
VALOR R$ ","3ª Parcela
Crédito em 12/08/20
VALOR R$ ","4ª Parcela
Crédito em 11/09/20
VALOR R$ ","TOTAL
VALOR R$"
0041,1100148,"Nova Brasilândia DOeste",RO,74133.94,653769.6,74133.94,653769.6,74133.94,653769.6,73630.62,647243.43,2904584.6700000004
0042,1501253,Bannach,PA,11898.22,70880.22,11898.22,70880.22,11898.22,70880.22,11722.54,69651.03,329708.89
0043,1100296,"Santa Luzia DOeste",RO,23517.63,207396.38,23517.63,207396.38,23517.63,207396.38,22338.23,196362.2,911442.46
0044,1501451,Belterra,PA,64205.48,382485.69,64205.48,382485.69,64205.48,382485.69,64107.4,380902.72,1785083.63
0045,1100320,"São Miguel do Guaporé",RO,83298.39,734588.73,83298.39,734588.73,83298.39,734588.73,82931.03,728997.83,3265590.2199999997
0046,1501956,"Cachoeira do Piriá",PA,122747.9,731235.34,122747.9,731235.34,122747.9,731235.34,124373.18,738979.9,3425302.8
0047,1100338,"Nova Mamoré",RO,110737.43,976567.15,110737.43,976567.15,110737.43,976567.15,112812.36,991667.02,4366393.12
0048,1502152,"Canaã dos Carajás",PA,134280.41,799936.95,134280.41,799936.95,134280.41,799936.95,136929.45,813584.64,3753166.1700000004
0049,5212055,Jesúpolis,GO,9016,68628.83,9016,68628.83,9016,68628.83,9005.73,68145.6,310085.82
0050,1502855,Curuá,PA,52115.35,310462.25,52115.35,310462.25,52115.35,310462.25,52420.8,311465.22,1451618.8199999998
0051,5218391,"Professor Jamil",GO,11670.1,88831.61,11670.1,88831.61,11670.1,88831.61,11510.51,87099.1,400114.74
0052,1503044,"Floresta do Araguaia",PA,73518.39,437964.67,73518.39,437964.67,73518.39,437964.67,73759.99,438254.86,2046464.0299999998
0053,5219738,"Santo Antônio de Goiás",GO,22750,173170.66,22750,173170.66,22750,173170.66,23143.21,175122.77,786027.96
0054,1504422,Marituba,PA,476222.01,2836955.83,476222.01,2836955.83,476222.01,2836955.83,480419.21,2854475.06,13274427.790000001
0055,5205513,"Cocalzinho de Goiás",GO,73286.65,557850.41,73286.65,557850.41,73286.65,557850.41,73684.52,557564.78,2524660.4800000004
0056,1504976,"Nova Ipixuna",PA,60389.07,359750.53,60389.07,359750.53,60389.07,359750.53,60567.64,359870.76,1680857.2
0057,5221197,"Terezópolis de Goiás",GO,29122.75,221679.39,29122.75,221679.39,29122.75,221679.39,29417.75,222601.7,1004425.8700000001
0058,1505635,Piçarra,PA,47002.67,280004.89,47002.67,280004.89,47002.67,280004.89,46642.19,277130.81,1304795.6800000002
